"Position (bp)","L13_pBIC10_1733","L14_pBIC10_1734","L15_pBIC10_1740","P10_pBIC_1766","P11_pBIC_1521","P9_pBIC_1761","Y2_YC_1669","Y3_YC_1671","Y4_YC_1067","Y6_YC_1070"
1,35.22922895357179,35.468187475505886,35.44878879077386,35.495996651260356,35.43325963088477,35.63250679196392,35.405417212273136,35.462982211080316,35.43830578125711,35.429792504823865
2,35.16438405173501,35.44134353072194,35.46009964023968,35.48106629358634,35.450870550775875,35.48012037930463,35.40977095514172,35.450501871922164,35.42210443078874,35.358671757342925
3,35.52958185828136,35.69385579329604,35.69258495091865,35.707251255715896,35.67274507047284,35.79960887510005,35.646523498873044,35.70117722750892,35.65966513789835,35.638708369213674
4,35.49392664595696,35.64605380775503,35.66459603087705,35.66762754959648,35.647782790134166,35.73128349266743,35.617214347343165,35.669448937462604,35.62352647325681,35.58759330495306
5,35.47663433570197,35.62745205237545,35.63935186259551,35.64743757402927,35.63077387734851,35.73472892200099,35.60236319337933,35.64926426958098,35.607632973232434,35.56454436901476
6,35.41156390143613,35.621482168532324,35.60599247881135,35.62114329591028,35.60178573593812,35.71713338362291,35.600101980449004,35.642862559734354,35.60376805344287,35.5611190546648
7,35.5989754829387,35.70762601679087,35.690202123838404,35.720335855898625,35.701708305764555,35.87625773685602,35.67925820639682,35.72129243327981,35.69480487345208,35.64457718791813
8,35.52233302363823,35.73575193833884,35.722040126914294,35.74807418373037,35.7242322852773,35.83572584797958,35.7018683270812,35.75018107137869,35.72102843888619,35.679760815632854
9,35.52617441899346,35.72094760802217,35.71481815902386,35.73507675274218,35.7178644297695,35.81078127510717,35.68301907876376,35.72964925638359,35.700275016335254,35.655950754977695
10,35.39531863276555,35.61947590182114,35.615634231980124,35.621714465193016,35.62163521613759,35.71963134881237,35.597807522826926,35.640333485142094,35.59905675965465,35.563271816776464
11,35.46061935874037,35.688567531240864,35.67461748460316,35.697890628438664,35.679546038468814,35.798748592035885,35.65302789865017,35.70127704864807,35.66139432733922,35.63304855313677
12,35.51245238925084,35.70328640192074,35.683482959340594,35.70801786923408,35.690860216375185,35.840531839294776,35.669495744843424,35.71509968180633,35.676895601276456,35.643908161433835
13,35.52579100976124,35.71766996992758,35.69808011927887,35.71747091143077,35.70975777488736,35.82350496120256,35.692370470318515,35.735183997367955,35.698361247506355,35.66207705931161
14,35.52247453015958,35.715315205476784,35.69093652152096,35.710343897430995,35.705190615374484,35.78923705357864,35.6950227080511,35.73719243301013,35.698650938577806,35.66132469658305
15,35.509771478661094,35.70605827023611,35.678469341455695,35.70032636605439,35.69142957516388,35.77930444290071,35.67872940673761,35.722986736741134,35.68316520644589,35.64751969724176
16,35.426050000748766,35.64373270922176,35.61793493841303,35.64157637804169,35.63829736857025,35.75876160556809,35.620775710567365,35.667385545032815,35.62668055994998,35.58493881192034
17,35.420291477175866,35.63754298981464,35.609601411693774,35.634568704283815,35.629742034875775,35.73389454535253,35.61856938622183,35.665323950445895,35.62296999482703,35.58306425267269
18,35.412606306825445,35.64515374801139,35.61710318361669,35.644237968704495,35.639476517626484,35.75862463624107,35.619334710999915,35.66477499547066,35.624952024900914,35.583481712737395
19,35.419030350051194,35.64900958487992,35.62262140201589,35.64823074402985,35.6390936270158,35.719513220514955,35.62231632123341,35.67025792589243,35.62918463108498,35.59110799158366
20,35.42048418698472,35.648150960111685,35.61988403408186,35.64610765981572,35.63622409804621,35.765110619362076,35.61891880391912,35.668647222124385,35.62628367132125,35.585847683230995
21,35.40669905575476,35.65047510049831,35.621503631396905,35.64490970836966,35.640393660868455,35.77080147797961,35.62142920856482,35.6644972287478,35.62575590433185,35.587113615300346
22,35.42628583127491,35.65141490986618,35.62342073048621,35.64818316366555,35.64343388687182,35.75819373032512,35.62356990436351,35.66622381166059,35.62729037131172,35.5875388637991
23,35.42797373451875,35.64204341185124,35.612886354791044,35.63568473226025,35.63381611058841,35.75082362362664,35.612645518287614,35.6587421294321,35.618819392115824,35.57829442095388
24,35.420690230983034,35.6385403888656,35.609488974385,35.63021594108592,35.62680880686911,35.752608108774226,35.606374405243855,35.6520816527929,35.612031672236085,35.56964224957546
25,35.42936607006768,35.6486654443897,35.61863472196926,35.6408691887511,35.641777261303524,35.755622177693304,35.617336340194775,35.66224608431867,35.62272991483418,35.57787657146747
26,35.435198362479476,35.64539298566704,35.61111087670393,35.63290908806269,35.63428674611063,35.74520139428577,35.61325863894674,35.65710883004803,35.61766222291006,35.572476889087596
27,35.44115152419017,35.64613532120368,35.615634231980124,35.640170113941245,35.63834214223426,35.753865458273545,35.61583340138042,35.65968154318986,35.61987427170282,35.57362529368724
28,35.43775405477316,35.650653377768506,35.61927234855597,35.64573361503969,35.642136720499934,35.757641555940154,35.61367397213644,35.65968260555156,35.62281613095427,35.575165144981895
29,35.43186555362426,35.649158882331,35.618068081689024,35.64374360011314,35.64014759005446,35.74771840709507,35.61475301038677,35.65760241963499,35.62101189095346,35.57419455033145
30,35.43823203417983,35.59524071624301,35.5625406549946,35.5863824997371,35.57517633368169,35.749328282174496,35.54738311395936,35.59313075294395,35.55828643252746,35.51191398702673
31,35.43720472719582,35.647142873467864,35.614520133740236,35.640526454395676,35.6382699636469,35.75535290797863,35.60677908045592,35.64971552814045,35.6133237688518,35.56715146942633
32,35.43474241525661,35.64822692423327,35.6141260952773,35.633257355018614,35.63637181426983,35.75274387987786,35.6134151882412,35.65755976172698,35.619256035046604,35.573745858646234
33,35.43895478827666,35.65683232737051,35.62167041210266,35.6423741790338,35.64337334206358,35.74884758801147,35.61853663343673,35.659278417787135,35.62227638041497,35.57921127540943
34,35.43507162613723,35.634028621538114,35.599624925077606,35.61901967892721,35.61885949475317,35.74333344668251,35.59193382937201,35.6335252993674,35.596312117732936,35.55125399045286
35,35.43960533260905,35.6411324589841,35.605045317548665,35.623352483781076,35.6279348256031,35.740065271772146,35.60147325224744,35.64407483700716,35.60512325796812,35.55781485046421
36,35.42867613859105,35.63997532152595,35.600095810026424,35.624919644100515,35.62738578496385,35.731936648360154,35.60498378511681,35.646636068470684,35.60619764661076,35.55990328011068
37,35.43744375792743,35.641687391690496,35.607209169258624,35.627635044425965,35.63321443119504,35.73317532210207,35.60984591351822,35.65521847999413,35.611590203165754,35.564611154836676
38,35.428254942317324,35.63780454809692,35.60031037072823,35.62116173791195,35.62581407779033,35.7203666034652,35.6057994893353,35.64858092585148,35.607122424927354,35.55973726963905
39,35.42754946112438,35.619578626031014,35.582564731737,35.60347237482409,35.608190786767906,35.730537619276426,35.587554630333784,35.631054286927714,35.59016823758872,35.54158106690876
40,35.427963846704415,35.62240845398461,35.58471635520595,35.60811250539019,35.61135509276055,35.719598583600806,35.58970147496572,35.63170923291193,35.58981363903028,35.5424740108718
41,35.42125256452363,35.638383897842395,35.604201412647036,35.623104131491964,35.627504662523734,35.725082686709335,35.60205497286479,35.64534104956596,35.60499810553573,35.557736810355095
42,35.422973249359394,35.63849854282893,35.60138075202979,35.619052300779046,35.62378767009486,35.72514193678926,35.596720081171156,35.63697319424458,35.599772337091615,35.55138830199793
43,35.42730723018729,35.63193389444292,35.596447848349186,35.61442561238306,35.618938760114425,35.724140924455774,35.592500710805126,35.63641958122192,35.59656459027057,35.54853173804396
44,35.412692507231746,35.62411242624225,35.58785010567466,35.60527620749826,35.611115740044355,35.71592615291504,35.58981986050183,35.630666565769545,35.58786612812403,35.54110414215014
45,35.411716034280765,35.608728828392366,35.56444587745365,35.585068240733854,35.583774515731655,35.70372051249749,35.569574745052975,35.61029034590251,35.56534842437178,35.51847597636101
46,35.42154103432692,35.56921182373331,35.52727096992923,35.54825751361983,35.55244106180027,35.70920821027614,35.52546826234628,35.56717983094884,35.52698752696503,35.47862403916523
47,35.40592054423187,35.61717560298782,35.577285178910884,35.59072444362735,35.60030132307201,35.6948239518572,35.5754975061972,35.61867246138662,35.57700747773514,35.52939232340008
48,35.40423588222177,35.621165815783556,35.58119763001843,35.597661832867765,35.605259279249694,35.683979162647624,35.57746017277729,35.61914615212186,35.58056732824587,35.53282807425166
49,35.40451421804108,35.62235937326969,35.58376837351815,35.59951549992865,35.60616937668178,35.697232546110214,35.57820598525789,35.61730924703317,35.581134563240916,35.53173282571436
50,35.40036835185521,35.59913478180909,35.555431241616525,35.58047655115881,35.57803189392353,35.682840437262286,35.561151130450696,35.601059893745855,35.55719993763646,35.50882587292866